,id,lead_key,phone,business_name,state,suburb,address,sector_level_1,sector_level_2,sector_level_3,qa_flags,exclude_reason
0,2312630,L_611287243333,01287243333,PRO IT,NSW,Sydney,"Suite 604, Level 6/83 York Street Sydney NSW 2000",Retail,Electronics & Appliances,"Computer, IT Technical Support",phone:reconstructed,
1,2312631,L_611300048153,1300 048 153,Hoist Care,NSW,Sydney,Sydney NSW 2000,Retail,Fashion & Accessories,"Wholesale Car Accessories, Manufacturers",phone:reconstructed,
2,2312632,L_611300053384,1300 053 384,JEEVI,NSW,Sydney,714/368 Sussex Street Sydney NSW 2000,Beauty & Wellness,Others,Community Health Services,phone:reconstructed,
3,2312633,L_611300069313,1300 069 313,Dunlap Bike Finance,NSW,Sydney,377 Kent St Sydney NSW 2000,Retail,Fashion & Accessories,"Wholesale Motorcycle Parts and Accessories, Manufacturers",phone:reconstructed,
4,2312634,L_611300074353,1300 074 353,Metiri Mensus,NSW,Parramatta,Suite 107 L 1 30 Cowper Street Parramatta NSW 2150,F&B,Others,Food,phone:reconstructed,
5,2312635,L_611300083609,1300 083 609,Australia Souvenirs,NSW,Sydney,644 George St Sydney NSW 2000,Retail,Others,Gift Shops,phone:reconstructed,
6,2312636,L_611300095744,1300 095 744,Cantwell Health Consulting and Advisory,NSW,Sydney,"3 Spring St, Sydney NSW 2000",Beauty & Wellness,Others,Health consultant,phone:reconstructed,
7,2312637,L_611300122848,1300 122 848,ActivICT,NSW,Surry Hills,"63 Foveaux St Surry Hills, Sydney NSW 2010",Retail,Electronics & Appliances,"Computer, IT Technical Support",phone:reconstructed,
8,2312638,L_611300123376,1300 123 376,EPM Partners,NSW,Sydney,"Level 6, 50 Margaret St Sydney NSW 2000",Retail,Electronics & Appliances,"Computer, IT Technical Support",phone:reconstructed,
9,2312639,L_611300130294,1300 130 294,Smallbiz,NSW,Surry Hills,"Unit 43 61 Buckingham Surry Hills, Sydney NSW 2010",Retail,Electronics & Appliances,"Computer, PC Supplies",phone:reconstructed,
10,2312640,L_611300131499,1300 131 499,TAFE PLUS,NSW,Darlinghurst,"Level 13, 1 Oxford St Darlinghurst, Sydney NSW 2010",Retail,Electronics & Appliances,Computer Training,phone:reconstructed,
11,2312641,L_611300131832,1300 131 832,Advice Connect,NSW,Sydney,L 34 50 Bridge St Sydney NSW 2000,Retail,Electronics & Appliances,"Computer, PC Service and Repairs",phone:reconstructed,
12,2312642,L_611300131983,1300 131 983,ATC Training Australasia,NSW,Sydney,"Level 8, 280 George St Sydney NSW 2000",Retail,Electronics & Appliances,Computer Training,phone:reconstructed,
13,2312643,L_611300133350,1300 133 350,Connexx Technologies Pty Ltd,NSW,Sydney,"Unit 208, 30- 40 Harcourt Pde Rosebery, Sydney NSW 2018",Retail,Electronics & Appliances,"Computer, PC Installation and Networking",phone:reconstructed,
14,2312644,L_611300136557,1300 136 557,Creative Folks,NSW,Sydney,"Suite 10.1, Graphix Row 160 Bourke Rd Alexandria, Sydney NSW 2015",Retail,Electronics & Appliances,"Computer, IT Technical Support",phone:reconstructed,
15,2273206,L_61408268946,0408 268 946,King Estate International,NSW,Kurrajong Hills,"150 Hermitage Rd, Kurrajong Hills NSW 2758, Australia",Others,Others,Equestrian facility,phone:local number,
16,2273207,L_61249393300,(02) 4939 3300,All Ways Healthcare - Kurri Kurri,NSW,Kurri Kurri,"110 Lang St, Kurri NSW 2327, Australia",Professional Services,Medical & Dental,Doctor,phone:local number,
17,2273214,L_61459484837,0459 484 837,Scoopia Gelato & Coffee,NSW,Port Macquarie,"72 Clarence St, Port Macquarie NSW 2444, Australia",F&B,Cafe & Dessert,Ice cream shop,phone:local number,
18,2273216,L_610255045491,(02) 5504 5491,RSL LifeCare - Pozières Retirement Village,NSW,Port Macquarie,"821 Ocean Dr, Port Macquarie NSW 2444",Others,Religious / Community / NGO,Retirement community,,
19,2273217,L_61456378130,0456 378 130,Cool Guys,NSW,Port Macquarie,"24 Jindalee Rd, Port Macquarie NSW 2444",Professional Services,Real Estate & Property,Party equipment rental service,,
20,2273219,L_610265810544,(02) 6581 0544,COOLCENE Air Conditioning,NSW,Port Macquarie,"154 Lake Rd, Port Macquarie NSW 2444",Others,Others,Air conditioning contractor,,
21,2273221,L_61400745366,0400 745 366,Konnubials By Kiki,NSW,Lake Tabourie,"53 Mercury Dr, Lake Tabourie NSW 2539",Others,Others,Marriage Celebrant,,
22,2273222,L_61411665644,0411 665 644,Neon Aquarium Services,NSW,Macquarie Hills,"23 Pasadena Cres, Macquarie Hills NSW 2285, Australia",Beauty & Wellness,Others,Pet care service,phone:local number,
23,2273223,L_61414500589,0414 500 589,Canterbury-Bankstown Return and Earn Depot,NSW,Roselands,"37-39 Leslie St, Roselands NSW 2196, Australia",Professional Services,Others,Bottle & Can Recycling Centre,phone:local number,
24,2273225,L_61499521521,0499 521 521,Davies Customs,NSW,Lakesland,"955 Barkers Lodge Rd, Lakesland NSW 2572",Others,Others,Fabrication engineer,,
25,2273227,L_61418243493,0418 243 493,Fourway Projects Pty Ltd,NSW,Lakesland,"35 Lakesland Rd, Lakesland NSW 2572",Others,Others,Construction company,,
26,2273228,L_610286253414,(02) 8625 3414,Ashta Events,NSW,Seven Hills,"15 Boomerang Pl, Seven Hills NSW 2147",Others,Others,Event planner,,
27,2273230,L_610249157501,(02) 4915 7501,Vivid Smiles,NSW,Lambton,"111 Elder St, Lambton NSW 2299",Others,Others,Medical & Dental,,
28,2273232,L_61412486883,0412 486 883,The Love Diaries,NSW,Lane Cove,"512-514 Mowbray Rd, Lane Cove NSW 2066",Others,Others,Marriage Celebrant,,
29,2312645,L_611300190431,1300 190 431,Email Customer Support Number 1-300-190-431,NSW,Sydney,Australia Sydney NSW 2500,Retail,Electronics & Appliances,"Computer, IT Technical Support",phone:reconstructed,
30,2312646,L_611300224229,1300 224 229,The Bookkeeping Store,NSW,Rozelle,"181 Evans St, Rozelle NSW 2039 Rozelle NSW 2039",Retail,Others,Store,phone:reconstructed,
31,2312647,L_611300227323,1300 227 323,Carebear Australia,NSW,Sydney,Unit 76/ 78 William St Sydney NSW 2001,Beauty & Wellness,Others,Aged Care,phone:reconstructed,
32,2312648,L_611300229906,1300 229 906,Hampr,NSW,Sydney,"904, 250 Pitt Street Sydney NSW 2000",F&B,Others,"Catering Supplies, Service and Equipment",phone:reconstructed,
33,2312649,L_611300249091,1300 249 091,digitalplux,NSW,Sydney,"39/33-39 Veron St, Wentworthville Sydney NSW 2145",Retail,Electronics & Appliances,"Computer, IT Technical Support",phone:reconstructed,
34,2312650,L_611300250450,1300 250 450,Valosi Pty Ltd t/a Bikebiz,NSW,Sydney,7 Great Western Hwy Sydney NSW 2150,Retail,Fashion & Accessories,"Wholesale Motorcycle Parts and Accessories, Manufacturers",phone:reconstructed,
35,2312651,L_611300255200,1300 255 200,Norwegian Cruise Line | Sydney to Auckland,NSW,Rozelle,"2041 James Craig Rd, Rozelle, New South Wales, 2039, Australia",F&B,Others,Food & drink,phone:reconstructed,
36,2312652,L_611300255250,1300 255 250,Ross Engineers,NSW,Sydney,"127 Wigram Rd Glebe, Sydney NSW 2037",Professional Services,Automotive Services,Car Repair,phone:reconstructed,
37,2312653,L_611300259667,1300 259 667,I-Grafix,NSW,Sydney,32 1 Market St Sydney NSW 2000,Retail,Electronics & Appliances,"Computer, PC Software",phone:reconstructed,
38,2312654,L_611300263333,1300 263 333,Coffex Coffee Pty Ltd,NSW,Sydney,"Unit 5/24 Burrows Rd Alexandria, Sydney NSW 2015",F&B,Cafe & Dessert,Coffee Machines,phone:reconstructed,
39,2312655,L_611300300413,1300 300 413,Lan 1,NSW,Sydney,"4 50 Mcevoy St Waterloo, Sydney NSW 2017",Retail,Electronics & Appliances,"Computer, PC Service and Repairs",phone:reconstructed,
40,2312656,L_611300300471,1300 300 471,Isn Solutions Pty Limited,NSW,Sydney,"Suite 120, Level 6/ 330 Wattle St Ultimo, Sydney NSW 2007",Retail,Electronics & Appliances,"Computer, PC Installation and Networking",phone:reconstructed,
41,2312657,L_611300301408,1300 301 408,E Pay Australia,NSW,Sydney,L 9 131 York St Sydney NSW 2000,Retail,Fashion & Accessories,Car Accessories,phone:reconstructed,
42,2312658,L_611300302396,1300 302 396,Dr. Pratt's Cosmetics,NSW,Sydney,Sydney NSW 2000,Retail,Health & Beauty Retail,Cosmetics Shops,phone:reconstructed,
43,2312659,L_611300304962,1300 304 962,chairsrus# (Aust) Pty Limited,NSW,Sydney,Sydney NSW 2099,Retail,Home & Furniture,Office Furniture,phone:reconstructed,
